;Nobelprijs;Achternaam;Voornamen;Roepnaam;Geslacht;Titulatuur 1;Geboortedatum;Geboorteplaats;Geboorteland;Sterfdatum;Sterfplaats;Land van overlijden;Examentype;Instelling;Datum;Proefschrift;Aanstelling I;Vakgebied I;Datum aanstelling I;Ambtsaanvaarding I;Leeropdracht I;Datum oratie I;Oratie/openbare les;Faculteit I;Einde dienstverband I;Reden I;Bijzonderheden I;Aanstelling II;Vakgebied II;Datum aanstelling II;Ambtsaanvaarding II;Leeropdracht II (Onderwijs of Vakgebied);Datum oratie II;Oratie/Openbare les II;Faculteit II;Einde dienstverband II;Reden II;Bijzonderheden II;Aanstelling III;Vakgebied III;Datum aanstelling III;Ambtsaanvaarding III;Leeropdracht III (Onderwijs of Vakgebied);Datum oratie III;Oratie/openbare les III;Faculteit III;Einde dienstverband III;Reden III;Bijzonderheden III;Aanstelling IV;Vakgebied IV;Datum aanstelling IV;Ambtsaanvaarding IV;Leeropdracht IV (Onderwijs of Vakgebied);Datum oratie IV;Oratie/openbare les IV;Faculteit IV;Einde dienstverband IV;Reden IV;Bijzonderheden IV;CV 1;CV 2;VIAF;Handle;NTA / PPN
2678;;Voûte;Caesar;;Man;;20-11-1922;Magelang;Nederlands-Indië;28-10-2009;Bankja;Bulgarije;Promotie;Utrecht;1963;Essai de synthèse de l'histoire géologique des environs d'Aine Fabroun-Aine Babouche et des régions limitrophes (Algérie orientale);Buitengewoon Lector;Geologie;24-12-1963;;Hydrogeologie;19-5-1964;Het kostbare bronwater;Wiskunde en Natuurwetenschappen;1-10-1973;Eervol ontslag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;274334522;;67562965
2679;;Vreede;Albert Cornelis;;Man;;29-1-1840;Gorinchem;Nederland;20-8-1908;Leiden;Nederland;;;;;Gewoon Hoogleraar;"Aziatische Talen en Culturen;Indische Taal- Land- en Volkenkunde;Nederlands-Indië";11-9-1877;;De Javaansche Taal- en Letterkunde;11-10-1877;;Letteren;20-8-1908;overleden.;"Niet gepromoveerd; Rector Magnificus 1896-1897";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(LETTEREN EN WIJSBEGEERTE) 1877-1908. Hoogleeraar.;zie: A. J. Holwerda in Levensberichten van de Mij. der Nederlandsche Letterkunde te Leiden;7754853;1623938;74541587
2681;;Vries;Gerardus de;;Man;;15-8-1648;Utrecht;Nederland;1-12-1704;Utrecht;Nederland;;;;;Gewoon Lector;;1-12-1673;;;;;Wijsbegeerte;1674;Uit beide ambten ontslagen wegens vertrek naar Utrecht.;1673-12-01 Onderregent Statencollege;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(Statencollege, WIJSBEGEERTE) 1673-1674. Onderregent Statencollege;"zie: Molhuysen „Bronnen"" III; - Nieuw Nederl. Biogr. Woordenboek X K. 1140.";160048;"1622672; 1621560; 1624121";70046441
2683;;Vries;Matthias de;;Man;;9-11-1820;Haarlem;Nederland;9-8-1892;Leiden;Nederland;Promotie;Leiden;1843;Specimen literarium inaugurale de historia Polybii pragmatica;Gewoon Hoogleraar;"Nederlandse Taal- en Letterkunde;Vaderlandse Geschiedenis";7-7-1853;;Nederlandsch en Vaderlandsche Geschiedenis. 1860 Ontheven van het onderwijs in Vaderlandsche Geschiedenis;29-10-1853;;Letteren;15-9-1891;1891-06-06  Ontslag wegens Emeritaat, ingaand 1891-09-15;Rector Magnificus 1873-1874;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(BESPIEGELENDE WIJSBEGEERTE EN LETTEREN) 1853-1891. Hoogleer aar.;"zie: P. J. Blok in Pallas Leidensis MCMXXV; - Nieuw Nederl. Biogr. Woordenboek I K . 1525.";10072073;"1581997; 1278145";69352623
2684;;Vries;Scato Gocko de;;Man;;16-6-1861;Leiden;Nederland;8-2-1937;Leiden;Nederland;Promotie;Leiden;1885;Epistvla Sapphvs ad Phaonem : apparatv critico instrvcta, commentario illvstrata et Ovidio vindicata;Buitengewoon Hoogleraar;Handschriftenkunde;22-3-1909;;De Middeleeuwsche Handschriftkunde;5-5-1909;;Letteren;21-9-1931;1931-05-23 Ontslag wegens Emeritaat, ingaand 1931-09-21;1897-02-01 Bibliothecaris. 1924 Nam ontslag als Bibliothecaris.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"(BIBLIOTHECARIS, LETTEREN EN WIJSBEGEERTE) 1897-1931; Bibliothecaris";"zie: D. C. Hesseling in Levensberichten van de Mij. der Nederlandsche Letterkunde te Leiden 1936
-1937; - J. E. Kroon in „Bibliotheekleven"" 1937; - Jaarboek der RU. te Leiden 1937,
blz. 75.";47501855;;70047553
2685;;Vries;Jan Pieter Marie Laurens de;;Man;;11-2-1890;Amsterdam;Nederland;23-7-1964;Utrecht;Nederland;Promotie;Amsterdam;1915;Studie??n over Faerörsche balladen;Gewoon Hoogleraar;Taalwetenschap;10-7-1926;;Gothisch, Angelsaksisch, Vergelijkende Grammatica der Indo-Germaansche talen, Middel-hoogduitsch en in het algemeen de oude talen en letterkunde der Gemaansche Volken.;29-9-1926;Traditie en persoonlijkheid in de Oudgermaansche epische kunst;Letteren;27-2-1946;Ontslagen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1927 blz. 121.;9900795;;68413858
2686;;Vries;Hille de;;Man;;28-7-1931;Surhuizum;Nederland;1999;;;Promotie;VU Amsterdam;1971;Landbouw en bevolking tijdens de agrarische depressie in Friesland (1878-1895);Gewoon Lector;Geschiedenis;13-12-1974;1-4-1975;Economische geschiedenis;11-6-1976;Economenwerk en werkloosheid. Nederlandse economen over werkloosheidsbeleid voor 1940;Letteren;;;;Gewoon Hoogleraar;Geschiedenis;20-12-1979;;Economische geschiedenis. 1988-11-22 Vakgebied gewijzigd in: De economische en sociale geschiedenis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1975-1980 blz. 40.;64814396;;67778461
2688;;Vries;Jan Willem de;;Man;;14-12-1937;Amsterdam;Nederland;2008;;;Promotie;Leiden;1975;Lexicale morfologie van het werkwoord in modern Nederlands;Buitengewoon Hoogleraar;Nederlandse Taal- en Letterkunde;11-7-1985;1-7-1985;Nederlandse taalkunde;11-4-1986;Nederlands in vreemde mond;Letteren;;;Buitengewoon Hoogleraar Letteren voor het tijdvak van 1985-07-01 tot en met 1990-08-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41885808;;68800363
2690;;Vriese;Guilelmus Hendrikus de;Willem Hendrik;Man;;11-8-1806;Oosterhout;Nederland;23-1-1862;Leiden;Nederland;Promotie;Leiden;1830;Specimen academicum medicum quo praecipuae exponuntur methodi, quibus utitur therapeutice natiralis, ad sanandos corporis humani morbos chronicos;Gewoon Hoogleraar;"Biologie;Natuurlijke Historie;Scheikunde";15-7-1845;;Scheikunde, Kruidkunde en Natuurlijke Historie.;27-9-1845;;Wiskunde en Natuurwetenschappen;23-1-1862;Overleden;Hoogleraar Wis en Natuurkunde ter vervanging van Professort Reinwardt.  Maakte een studiereis van 1857 tot 1861 en werd tijdelijk vervangen door W.F.R. Suringar. 1861 Hervatte zijn lessen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(Wis- EN NATUURKUNDE) 1845-1857 en 1861-1862. Hoogleeraar.;"zie: W. F. R. Suringar in de Algemeene Const-. en Letterbode, 1861 no. 10; - Gedenkboek) van
het Athenaeum en de Universiteit van Amsterdam 1632-1932, blz. 703; - de Nederlandsche
Spectator 1862; - H. Veefldorp en L. G. M. Baas Becking in: Hortus Academic";50003244;;69661162
2694;;Vroon;Pieter Adrianus;Piet;Man;;9-7-1939;Gorinchem;Nederland;13-1-1998;Culemborg;Nederland;Promotie;Utrecht;1972;Enkele psychofysische en cognitieve aspecten van de tijdzin;Gewoon Lector;Psychologie;26-11-1975;1-3-1976;Algemene psychologie;24-9-1976;Tussen feit en norm;Sociale Wetenschappen;1-1-1983;Eervol ontslag;Naar Rijksuniversiteit Utrecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1975-1980 blz. 42.;7515403;;06834385X
2696;;Vulcanius (De Smet);Bonaventura;;Man;;30-6-1538;Brugge;België;9-10-1614;Leiden;Nederland;;;;;Gewoon Hoogleraar;Klassieke Talen;1578 benoemd;28 (Kwam toen pas naar Leiden)-6-1581;;;;Letteren;9-10-1614;Overleden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GRIEKSCHE EN LATIJNSCHE TAAL) 1581-1614. Hoogleeraar.;"zie: Molhuysen „Bronnen"" I en II; - Nieuw Nederl. Biogr. Woordenboek X K. 1143.";77391;"1582054; 1619540; 1625715; 1625392; 1581776; 1624088; 1625353";68910193
2697;;Vürtheim;Julius Johannes Gerardus;;Man;;8-2-1869;Rotterdam;Nederland;7-7-1928;Leiden;Nederland;Promotie;Leiden;1898;De Euripidis Bacchis;Gewoon Hoogleraar;"Klassieke Archeologie;Klassieke Talen";29-12-1913;;Grieksche Taal- en Letterkunde.1921-12-05  Tevens belast met het onderwijs in Grieksche Oudheden;14-10-1914;;Letteren;7-7-1928;Overleden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(LETTEREN EN WIJSBEGEERTE) 1913-1928. Hoogleeraar.;"zie: M. J. Oldewelt in „de Gids"" 92 III 1928; - J. Huizinga in den Almanak van het Leidsch
Studenten Corps 1929, blz. 196; - Jaarboek der R.U. te Leiden 1928, blz. 127.";10830463;;06917041X
2698;;Waal;Henri van de;;Man;;3-3-1910;Rotterdam;Nederland;7-5-1972;Leiden;Nederland;Promotie;Leiden;1940;Zeventiende eeuwsche uitbeeldingen van den Bataafschen opstand;Buitengewoon Hoogleraar;Kunstgeschiedenis;27-12-1945;;Kunstgeschiedenis;22-3-1946;Traditie en bezieling;Letteren;;;;Gewoon Hoogleraar;Kunstgeschiedenis;11-8-1947;;Kunstgeschiedenis;;;Letteren;7-5-1972;Overleden;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1946 deel II blz. 45 en In Mem. JB LUF 1972 blz. 88.;49295305;"1887185; 1655273; 1655027; 1655052";69133417
2706;;Wal;Johan de;;Man;;3-4-1816;Franeker;Nederland;7-2-1892;Arnhem;Nederland;Promotie;Groningen;1839;Disquisito historica de juris civilis docenti discendique via ac ratione apud Romanos;Gewoon Hoogleraar;Geschiedenis van het Recht;28-7-1848;;De Encyclopaedie en Methodologie van het Recht, oorsprong en ontwikkeling van het Recht bij de Germaansche volken, hieronder begrepen de geschiedenis van het Vaderlandsch Recht;28-10-1848;;Rechtsgeleerdheid;1-1-1871;1870-11-05  Ontslag wegens Emeritaat, ingaand 1871-01-01.;"Rector Magnificus 1850-1851; 1860-1861";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(RECHTSGELEERDHEID) 1848-1871. Hoogleeraar.;"zie: H. van der Hoeven in den Almanak van het Leidsch Studenten Corps 1893; - A. A. de Pinto
in „Eigen Haard"" 1892; - W. N. du Rieu in „de Nederlandsche Spectator"" 1892 no. 23.";64864316;"1619854; 1582053; 1622294; 1625778";69142319
2707;;Walaeus;Antonius;;Man;;3-10-1573;Gent;België;9-7-1639;Leiden;Nederland;;;;;Gewoon Hoogleraar;;18-8-1619;;Godgeleerdheid;;;Godgeleerdheid;9-7-1639;Overleden;"Rector Magnificus 1625-1627; 1639";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GODGELEERDHEID) 1619-1639. Hoogleeraar.;"zie: Molhuysen „Bronnen"" II; - Nieuw Nederl. Biogr. Woordenboek II K. 1513.";47564038;"1581891; 1622670; 1622424; 1624189; 1625675; 1622196; 1620769";70250537
2708;;Walaeus (de Wale/ Waal);Johannes;Jan;Man;;27-12-1604;Koudekerke;Nederland;5-6-1649;Leiden;Nederland;;;;;Gewoon Lector;;16-11-1632;;Gaf lessen in Geneeskunde voor 1 jaar;;;Geneeskunde;;;;Buitengewoon Hoogleraar;;8-8-1633;;;;;Geneeskunde;;;;Gewoon Hoogleraar;;8-2-1648;;;;;Geneeskunde;5-6-1649;Overleden;;;;;;;;;;;;;(GENEESKUNDE) 1632-1649. Lector 1632-1633, Hoogleeraar 1633-1649.;"zie: Molhuysen „Bronnen"" II en III; - Nieuw Nederl. Biogr. Woordenboek IX, K. 1270.";51680129;1619793;69901414
2712;;Walraven;Théodore;;Man;;26-7-1916;Nikolaieff (Rusland);USSR;3-1-2008;Cornelia;Zuid-Afrika;Promotie;Amsterdam;1948;The line spectrum of delta cephei;Buitengewoon Lector;Sterrenkunde;18-3-1965;;Toegepaste Fysica;;;Wiskunde en Natuurwetenschappen;;;1973-08-27  Herbenoemd voor het tijdvak van 1971-01-01 t/m 1975-12-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7782839;;73790397
2713;;Walsem;Gerard Christiaan van;;Man;;1-10-1863;Wateringen;Nederland;27-4-1935;Haarlem;Nederland;Promotie;Leiden;1889;Eenige onderzoekingen en beschouwingen op het gebied van de pathologische anatomie van het ruggemerg, in verband met zijn normalen bouw;Gewoon Hoogleraar;Anatomie;13-5-1901;;Ziektekundige Ontleedkunde;21-6-1901;;Geneeskunde;1-8-1904;1904-08-13  Ontslag op eigen verzoek, ingaand 1904-08-01.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GENEESKUNDE) 1901-1904. Hoogleeraar.;zie: Jaarboek der R.U. te Leiden 1935, blz. 78.;69326710;;161557694
2720;;Wassenbergh;Henry Abraham;Henri;Man;;16-8-1924;Hattem;Nederland;1-2-2014;Hattem;Nederland;Promotie;Leiden;1957;Post-war international civil aviation policy and the law of the air /;Buitengewoon Hoogleraar;;7-4-1977;1-9-1977;Lucht- en ruimterecht;27-1-1978;Reality and value in air and space law;Rechtsgeleerdheid;;;Buitengewoon Hoogleraar Rechtsgeleerdheid t/m 1981-08-31. 1981-12-30  Herbenoemd van 1981-09-01 t/m 1985-08-31. 1985-08-26  Herbenoemd van 1985-09-01 t/m 1989-08-31. 1989-05-10  Herbenoemd van 1989-09-01 tot 1991-09-01.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1975-1980 blz. 56.;108934875;;68333463
2722;;Waszink;Jan Hendrik;;Man;;27-10-1908;Renswoude;Nederland;5-10-1990;Lugano;Zwitserland;Promotie;Leiden;1933;Tertullian De anima / mit Einleitung, Uebersetzung und Kommentar;Gewoon Hoogleraar;"Klassieke Archeologie;Klassieke Talen";10-12-1945;;Latijnse taal- en letterkunde en Romeinse oudheden;5-4-1946;Humanitas;Letteren;7-1-1974;Eervol ontslag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1946 deel II blz. 51.;109569775;1655181;70148392
2723;;Water;Jona Willem te;;Man;;28-10-1740;Zaamslag;Nederland;19-10-1822;Leiden;Nederland;;;;;Gewoon Hoogleraar;"Kerkelijke Geschiedenis;Klassieke Talen";30-10-1784;;Godgeleerdheid en Kerkelijke Geschiedenis. 1797-08-22: Kreeg opdracht tijdelijk colleges te geven in Grieks;9-4-1785;;Godgeleerdheid;1815;Ontslag wegens Emeritaat;"Rector Magnificus 1789-1790; 1800-1801";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GODGELEERDHEID EN GRIEKSCH) 1784-1815. Hoogleeraar.;"zie: Molhuysen ..Bronnen"" VI en VII; - Nieuw Nederl. Biogr. Woordenboek IV K. 1438.";40148207;"1582055; 1625103; 1620688; 1621264; 1620341";70048134
2727;;Weyssius (Weiss);Andreas;;Man;;24-10-1713;Bazel;Zwitserland;1792;Bazel;Zwitserland;;;;;Gewoon Hoogleraar;Internationaal Recht;15-6-1747;;Natuur- en Volkenrecht;9-10-1747;;Rechtsgeleerdheid;8-11-1760;"Eervol ontslag met titel van ""Professor Honorarius in Openbaar- en Privaatrecht""";1759-08-08 Kreeg één jaar verlof om onderwijs te geven aan de Prins van Oranje. Rector Magnificus 1753-1754;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(RECHTSGELEERDHEID) 1747-1760. Hoogleeraar.;"zie: Molhuysen „Bronnen"" V; - van der Aa 12.";291626192;"1621113; 1581871; 1624527; 1623534";336591713
2730;;Welschen;Reinier;;Man;;-1884;Rotterdam;Nederland;12-3-1941;Amsterdam;Nederland;Promotie;Pontificia Università Urbaniana;1907;De spiritualitate animae humanae;Bijzonder Hoogleraar;Geschiedenis der Wijsbegeerte;1925;;De Thomistische Wijsbegeerte;4-11-1925;De juiste formulering van het causaliteits beginsel;Wijsbegeerte;;;1925 Bijzonder Hoogleraar Letteren en Wijsbegeerte vanwege de Sint Radbout-stichting.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1926 blz. 121 en In Mem. 1941 blz. 48.;;;
2735;;Wensinck;Arent Jan;;Man;;7-8-1882;Alphen;Nederland;19-9-1939;Leiden;Nederland;Promotie;Leiden;1908;Mohammed en de Joden te Medina;Gewoon Hoogleraar;"Archeologie;Oosterse Talen";31-1-1912;;De Hebreeuwsche Taal- en Letterkunde en de Israelitische Oudheden;27-3-1912;;Letteren;;;Rector Magnificus 1927-1928;Gewoon Hoogleraar in tijdelijke dienst;"Bijbelwetenschap;Oosterse Talen";4-5-1914;;De Israëlitische Letterkunde en de Uitlegging van het Oude Testament;;;Godgeleerdheid;;;Tijdelijk Hoogleraar Godgeleerdheid, tot en met den dag, waarop de non-activiteit van professor eerdmans zal eindigen.1927-05-06  Wijziging van het KB van 1912-01-31;Gewoon Hoogleraar;"Arabische Taal- en Letterkunde;Oosterse Talen";19-9-1927;;Arabisch met ontheffing van het Onderwijs in Hebreeuwsche Taal- en Letterkunde en Israëlitische Oudheden;;;Letteren;19-9-1939;Overleden;;;;;;;;;;;;;(LETTEREN EN WIJSBEGEERTE, GODGELEERDHEID) 1912-1939. Hoogleeraar.;"zie o.a.: J. Huizinga in Jaarboek der Kon. Akademie van Wetenschappen 1939-1940; - Signora
Dott. V. Vacca in Oriente Moderno, Anno XIX no. 12, 1939; - J. N. Bakhuizen van
den Brink in Universiteitsblad 1939 Oct. 6; - G. van der Leeuw in „Kerk en Christend";8161787;1278101;68357109
2736;;Went;Friedrich August Ferdinand Christiaan;Frits;Man;;18-6-1863;Amsterdam;Nederland;24-7-1935;Wassenaar;Nederland;Promotie;Amsterdam;1886;De jongste toestanden der vacuolen;Bijzonder Hoogleraar;Biologie;1934;;Plantkunde;25-5-1934;;Wiskunde en Natuurwetenschappen;24-7-1935;Overleden;1934 Bijzonder Hoogleraar vanwege het Leids Universiteits Fonds.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(Wis- EN NATUURKUNDE) 1934-1935. Bijzonder Hoogleeraar.;zie: Jaarboeken der R.U. te Leiden 1934, blz. 74 en 1935, blz. 78.;15553786;;06957698X
2740;;Werff ten Bosch;Jacobus Johannes van der;;Man;;23-4-1927;Rotterdam;Nederland;31-5-2012;Leiderdorp;Nederland;Promotie;Leiden;1959;Normale en abnormale geslachtsrijping;Gewoon Lector;Inwendige Geneeskunde;5-8-1965;1-9-1965;Experimentele endocrinologie. 1967-10-02 Vakgebied gewijzigd in: De inwendige geneeskunde met een bijzondere opdracht voor experimentele endocrinologie;12-2-1966;Beknopt XYZ der geslachten. Twee sociaal-endocrinologische problemen;Geneeskunde;;;1968-10-07  Eervol ontslag op eigen verzoek;Onbezoldigd Buitengewoon Hoogleraar;;18KB)-1-1969;;Experimentele endocrinologie;;;Geneeskunde;;Onbezoldigd Buitengewoon Hoogleraar  voor het tijdvak van 1968-09-01 t/m 1973-08-31.;1975-10-13  Herbenoemd voor het tijdvak van  1973-09-01 t/m 1978-08-31. 1978-08-29  Herbenoemd van 1978-09-01 t/m 1983-08-31. 1983-10-10  Herbenoemd van 1983-09-01 t/m 1988-08-31. 1988-04-27  Herbenoemd van 1988-09-01 tot 1992-05-01.;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1966/67 blz. 243.;13778704;;69569878
2742;;Wery;Paul Leonard;;Man;;13-11-1914;Den Haag;Nederland;2005;;;;;;;Gewoon Lector;;25-6-1969;1-7-1971;Handelsrecht;29-6-1971;De autonomie van het eenvormig privaatrecht;Rechtsgeleerdheid;;;;Gewoon Hoogleraar;;20-12-1979;;Handelsrecht;;;Rechtsgeleerdheid;1-2-1984;Eervol ontslag;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB LUF 1971 blz. 63.;23479157;;68004044
2744;;Wes;Marinus Antony;;Man;;13-1-1939;Lochem;Nederland;2008;;;Promotie;Leiden;1967;Das Ende des Kaisertums im Westen des Römischen Reichs;Gewoon Lector;Geschiedenis;15-8-1973;1-9-1973;Oude geschiedenis;24-5-1947;Tussen polis en technopolis;Letteren;1-2-1976;Eervol ontslag op eigen verzoek;Naar Rijksuniversiteit Groningen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1970-1975 blz. 87.;112314717;;69406677
2749;;Wesseling;Hendrik Lodewijk;Henk;Man;;6-8-1937;Den Haag;Nederland;18-8-2018;Oegstgeest;Nederland;Promotie;Leiden;1969;Soldaat en krijger : Franse opvattingen over leger en oorlog, 1905-1914;Gewoon Hoogleraar;Geschiedenis;15-8-1973;1-9-1973;Algemene geschiedenis;17-5-1974;Van gebeurtenis tot geschiedenis;Letteren;2002;Emeritaat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1970-1975 blz. 77.;29654187;"1655247; 1582005";68241674
2751;;Wesselius;Johannes;;Man;;20-10-1671;Emden;Duitsland;16-1-1745;Leiden;Nederland;Promotie;Leiden;1740;Dissertatio philologico-juridica inauguralis;Gewoon Hoogleraar;;1712;;Godgeleerdheid;7-3-1712;;Godgeleerdheid;;;"Rector Magnificus 1728-1729; 1740-1741";Gewoon Hoogleraar;Retorica;8-8-1738;;;19-1-1739;;Godgeleerdheid;16-1-1745;Overleden;;;;;;;;;;;;;;;;;;;;;;;;(GODGELEERDHEID) 1712-1745. Hoogleeraar.;"zie: Molhuysen „Bronnen"" IV en V; - Nieuw Nederl. Biogr. Woordenboek X K. 1173.";45168182;"1625891; 1620315; 1623291; 1620678; 1581912; 1620992; 1622927; 1619488; 1619822; 1624123";67645135
2754;;Westenberg;Joannes Ortwinus;;Man;;28-5-1667;Neuenhaus;Duitsland;1-7-1737;Leiden;Nederland;Promotie;Franeker;1684;Dissertatio historica de duobus maxime insignibus L. Flori locis;Gewoon Hoogleraar;Burgerlijk Recht;16-7-1723;;Romeinsch en Hedendaagsch Burgerlijk Recht;27-9-1723;;Rechtsgeleerdheid;1-7-1737;Overleden;"Rector Magnificus 1725-1726; 1733-03-14; 1733-1734;  wegens hoge leeftijd vervangen voor Burgerlijk Recht door een Lector.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(RECHTSGELEERDHEID) 1723-1737. Hoogleeraar.;"zie: Molhuysen „Bronnen"" lV^en V; - Nieuw Nederl. Biogr. Woordenboek III K. 1408.";874638;"1621723; 1621048";68420374
2758;;Weststrate;Cornelis;;Man;;11-3-1899;Zetten;Nederland;31-8-1961;Christchurch;Nieuw-Zeeland;Promotie;Utrecht;1937;Crediet, conjunctuur, credietbeperking;Gewoon Hoogleraar;Bestuurskunde;18-7-1939;;Staathuishoudkunde en Statistiek;27-10-1939;Welvaart en Economie;Rechtsgeleerdheid;10-9-1950;1950-12-09  Ontslag op verzoek miv 1950-09-10;1942-05-30 Eervol ontslag op eigen verzoek . 1945-09-04 Herbenoemd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JBder R.U. te Leiden 1940 blz. 71.;67774154;1663855;06949634X
2762;;Weyers;Hendrik Engelinus;;Man;;14-5-1805;Winkel;Nederland;1-4-1844;Leiden;Nederland;Promotie;Leiden;1828;Initium disputationis de libri Apocalypseos argumento sententia et auctore;Buitengewoon Hoogleraar;Oosterse Talen;1833;;Oostersche Letterkunde;14-12-1833;;Letteren;;;;Gewoon Hoogleraar;"Arabische Taal- en Letterkunde;Oosterse Talen";8-7-1837;;Hebreeuwsch, Arabisch en Syrisch;;;Letteren;1-4-1844;Overleden;;;;;;;;;;;;;;;;;;;;;;;;(BESPIEGELENDE WIJSBEGEERTE EN LETTEREN) 1833-1844. Hoogleeraar.;"zie: Nieuw Nederl. Biogr. Woordenboek X K. 1191; - van der Aa 12.";13138197;"1582039; 1619457; 1622059; 1620455";70431558
2766;;Wheeler;John Archibald;John;Man;;19-7-1911;Jacksonville;USA;13-4-2008;Hightstown (New Jersey);USA;Promotie;Johns Hopkins University;1933;Theory of the dispersion and absorption of helium;Buitengewoon Hoogleraar;Natuurkunde;16-5-1965;;Theoretische natuurkunde;;;Wiskunde en Natuurwetenschappen;01 t/m 1956-2-Buitengewoon Hoogleraar voor het tijdvak van 1956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92867682;;71591710
2769;;Wiebes;Jacobus Theodorus;Koos;Man;;13-9-1931;Rotterdam;Nederland;6-12-1999;Leiderdorp;Nederland;Promotie;Leiden;1969;Caloric measurements on liquid and melting helium below 1.5 Kelvin;Gewoon Hoogleraar;Biologie;10-8-1970;1-9-1970;Experimentele dierensystematiek;23-4-1971;Te hooi en te gras;Wiskunde en Natuurwetenschappen;;;;Onbezoldigd Buitengewoon Hoogleraar;Biologie;24-4-1985;;De theorie van de co-evolutie, in het bijzonder. de wordingsgeschiedenis van de bestuivingsrelaties;;;Wiskunde en Natuurwetenschappen;;;Benoemd tot Onbezoldigd Buitengewoon Hoogleraar voor het tijdvak van 1985-05-01 t/m 1990-08-31;;;;;;;;;;;;;;;;;;;;;;;;zie: JB LUF 1971 blz. 58.;59231853;;136173322
2775;;Wiersma;Dirk;;Man;;16-5-1899;Groningen;Nederland;4-10-1981;Oegstgeest;Nederland;Promotie;Groningen;1923;Over de psychologie van dementia praecox. Een histories, krieties en experimenteel onderzoek;Buitengewoon Hoogleraar;Psychiatrie;25-11-1953;29-1-1954;Forensische psychiatrie;19-3-1954;De schuilhoeken van het absolutistische denken;Rechtsgeleerdheid;1-2-1969;Ontslag wegens emeritaat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB Mij der Ned. Letterk. 1984-1985 blz 144.;13672588;1662894;71213732
2776;;Wiersma;Klaas;;Man;;28-2-1916;Hengelo;Nederland;5-1-1993;Wassenaar;Nederland;Promotie;Leiden;1952;Het rechtsmiddel verzet van derden;Gewoon Hoogleraar;Notarieel Recht;29-3-1946;;Notarieel Recht;1-4-1963;Schenking en hercodificatie;Rechtsgeleerdheid;17-7-1970;Ontslag op verzoek;1946-1955 Secretaris College van Herstel en Secretaris College van Curatoren;Gewoon Hoogleraar;"Burgerlijk Recht;Notarieel Recht";5-9-1971;;Burgerlijk en Notarieel Recht;;;;16-4-1974;Naar Hoge Raad der Nederlanden;"1974-02-08 Diesrede: ""Testament""";;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1963 blz. 189.;306156974;1655055;06818610X
